,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
0,ALABAMA,Hoover,85163,4627.0,52,539,201,3,0,0,0,0,0,3,17,6,0,9,0,0,0,1,0,306,63,231,54,0,43,199,111,0,0,3,1,917,348,0,471,101,244,76,51,28,334,148,0,0,0,0,7,15,0,0,45
1,ARIZONA,Apache Junction,38519,2964.0,82,345,64,0,0,0,0,0,0,3,2,0,1,45,2,0,2,7,0,352,29,528,0,0,65,32,62,0,0,0,0,336,10,0,99,22,381,102,11,10,155,166,0,0,0,0,4,0,10,0,37
2,ARIZONA,Gilbert,247324,8676.0,121,846,202,2,1,1,0,0,0,48,27,1,0,50,20,0,20,20,0,519,82,1592,18,6,162,149,278,0,0,1,3,832,96,0,751,64,903,137,32,76,701,845,0,0,0,0,13,10,1,0,46
3,ARIZONA,Yuma,93923,7985.0,330,668,167,5,1,0,0,0,0,33,35,10,1,59,11,0,11,32,1,680,37,1713,19,3,278,122,176,0,12,5,5,752,101,23,344,115,742,270,75,22,467,573,0,0,0,0,13,0,0,0,74
4,ARKANSAS,Alma,5581,661.0,16,129,84,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,35,10,85,0,0,0,15,8,0,1,1,1,64,17,0,34,2,108,6,2,5,18,6,0,0,0,0,1,1,0,0,4
5,ARKANSAS,Altus,731,31.0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,9,0,0,0,1,0,0,0,0,0,0,0,0,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,ARKANSAS,Arkadelphia,10637,787.0,41,126,51,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,69,21,116,0,0,2,31,2,0,0,0,0,44,30,0,16,2,143,9,7,7,43,11,0,0,0,0,2,0,0,0,4
7,ARKANSAS,Ashdown,4453,312.0,4,51,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,1,0,29,1,56,0,0,1,1,0,0,0,0,0,19,1,0,0,0,86,9,2,0,41,1,0,0,0,0,0,0,0,0,2
8,ARKANSAS,Ash Flat,1059,36.0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,1,1,0,0,0,0,6,0,0,0,0,5,1,0,0,4,1,0,0,0,0,0,0,0,0,0
9,ARKANSAS,Atkins,3055,192.0,12,21,11,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,18,13,14,0,0,8,6,0,0,0,0,1,8,1,0,4,2,53,3,2,1,5,0,0,0,0,0,0,0,0,0,1
