,states,fraud_prob,Population,total_crimes,fraud_count,est.Frauds,%est.Caught
0,CONNECTICUT,0.018754855411711294,2131967.0,75676.0,8410.0,39984.73282753989,21.03302787159685
1,VERMONT,0.02864604057321659,356298.0,12130.0,659.0,10206.526964155924,6.456652711684666
2,MASSACHUSETTS,0.029727569415899185,5589329.0,220709.0,18988.0,166157.16583579837,11.427734641769543
3,PENNSYLVANIA,0.02974691505784811,192011.0,6830.0,901.0,5711.734907172474,15.77454161726895
4,RHODE ISLAND,0.037800381762431216,1074282.0,48100.0,3988.0,40608.269720508135,9.820659750952073
5,WISCONSIN,0.04149476268372186,1692713.0,112536.0,6882.0,70238.72422665088,9.798013952805741
6,COLORADO,0.04263932913547087,3849768.0,245743.0,20101.0,164151.5248472034,12.24539340631197
7,ARIZONA,0.042895309851638884,379766.0,19625.0,1484.0,16290.180241117492,9.109782568607104
8,NEW HAMPSHIRE,0.04473902635583947,1180502.0,61688.0,6252.0,52814.51009112121,11.837655957071997
9,OKLAHOMA,0.044844713501401734,793311.0,48728.0,3541.0,35575.80451251051,9.953394023049512
10,ALABAMA,0.04557892863795856,85163.0,4627.0,416.0,3881.6382995944646,10.717124262800626
11,MICHIGAN,0.046026382403556276,6691114.0,389092.0,35444.0,307967.77166978904,11.508996479671895
12,IDAHO,0.049792869809495856,980281.0,57263.0,3706.0,48811.00420972241,7.592550204615174
13,NORTH DAKOTA,0.05124705637818055,519823.0,32543.0,2490.0,26639.398587674947,9.347057861704243
14,TEXAS,0.05179246302287081,3143888.0,195623.0,16469.0,162829.70298804727,10.114248013588115
15,MAINE,0.051816115804668744,243673.0,15182.0,1122.0,12626.188386471047,8.886292249545575
16,IOWA,0.0524350399933444,1947549.0,126980.0,9720.0,102119.8097039979,9.518231602834126
17,NEBRASKA,0.05293875417422114,411784.0,26416.0,1658.0,21799.33194887748,7.605737661540476
18,OHIO,0.053530953526912374,4898884.0,346261.0,17892.0,262241.9317377346,6.822707521043432
19,WEST VIRGINIA,0.05600983632589397,425679.0,28632.0,1708.0,23842.21111737022,7.163765103797937
20,VIRGINIA,0.05744720101920491,3270146.0,228399.0,18388.0,187860.73462414887,9.78810182808488
21,OREGON,0.06517790677242413,1104162.0,85941.0,6431.0,71966.96789765338,8.936044115608343
22,MONTANA,0.0670150787806497,492755.0,39743.0,2113.0,33022.015144559045,6.3987615254550985
23,UTAH,0.06847259500467043,1728381.0,143304.0,10561.0,118346.73222676727,8.923778292216628
24,WASHINGTON,0.06856524374558542,3776810.0,297444.0,17152.0,258957.89823076446,6.623470501260936
25,SOUTH DAKOTA,0.07025379446674718,517742.0,39418.0,2155.0,36373.34005480262,5.9246689931502745
26,KENTUCKY,0.07163813240263912,2486459.0,186826.0,10341.0,178125.27905573367,5.805464589203199
27,SOUTH CAROLINA,0.07200572636329475,1660602.0,171858.0,14441.0,119572.85321033998,12.07715598673297
28,LOUISIANA,0.07450822623691913,64329.0,5828.0,229.0,4793.039685594771,4.777761400312363
29,MISSOURI,0.07801499512917097,735444.0,69606.0,4490.0,57375.66007777802,7.8256180302124445
30,ARKANSAS,0.07862574203654916,1717797.0,165560.0,9907.0,135063.06379315804,7.335092009442381
31,KANSAS,0.08020160745292211,1451414.0,122197.0,11525.0,116405.7358796755,9.900714868477776
32,TENNESSEE,0.08533256971500126,4013235.0,407905.0,28919.0,342459.6554201831,8.444498364199324
33,DELAWARE,0.09704161762649678,287914.0,33658.0,2493.0,27939.640297315193,8.92280635495354
34,ILLINOIS,0.10225097375590976,148178.0,18260.0,720.0,15151.344789203196,4.752053431673405
35,MISSISSIPPI,0.11671662481428464,117944.0,16605.0,1087.0,13766.025597095988,7.89625148037868
